term	gene
GO:0005634	24642
GO:0007283	24959
GO:0046689	24959
GO:0006094	24959
GO:0005634	24959
GO:0005829	24959
GO:0046538	24959
GO:0004619	24959
GO:0010035	24959
GO:0048821	296973
GO:0009410	24334
GO:0097060	24334
GO:0030426	24334
GO:0043005	24334
GO:0000015	24334
GO:1901215	24334
GO:0009986	24334
GO:0032355	24334
GO:0005737	24334
GO:0048609	24334
GO:0014070	24334
GO:0005938	24334
GO:1901214	24334
GO:0044877	24334
GO:0004634	24334
GO:0006094	24334
GO:0019899	24334
GO:0006096	24334
GO:0042802	24334
GO:0061621	24334
GO:0045121	24334
GO:0009410	25438
GO:0044877	25438
GO:0043403	25438
GO:0005515	25438
GO:0016020	25438
GO:0042802	25438
GO:0004634	25438
GO:0007568	25438
GO:0006086	117098
GO:0005739	117098
GO:0004739	117098
GO:0045254	117098
GO:0006086	289950
GO:0005739	289950
GO:0004739	289950
GO:0045254	289950
GO:0045254	81654
GO:0030431	81654
GO:0006086	81654
GO:0005739	81654
GO:0004742	81654
GO:0008637	29539
GO:0008631	29539
GO:0032496	29539
GO:0032870	29539
GO:0005515	29539
GO:0033574	29539
GO:0032355	29539
GO:0048149	29539
GO:0006117	29539
GO:0043066	29539
GO:2000377	29539
GO:0004029	29539
GO:0032570	29539
GO:0110095	29539
GO:0014070	29539
GO:0001889	29539
GO:0045471	29539
GO:1902882	29539
GO:0009408	29539
GO:0035094	29539
GO:0002931	29539
GO:0071398	29539
GO:0006067	29539
GO:0050727	29539
GO:0042802	29539
GO:0005759	29539
GO:1904639	29539
GO:0055093	29539
GO:0005739	29539
GO:0070404	29539
GO:0008284	25375
GO:0009410	25375
GO:0001666	25375
GO:0051384	25375
GO:0007584	25375
GO:0051591	25375
GO:0005737	25375
GO:0005829	25375
GO:0007568	25375
GO:0004028	25375
GO:0014070	25375
GO:0001666	25630
GO:0042866	25630
GO:0005515	25630
GO:0010033	25630
GO:0006754	25630
GO:0007584	25630
GO:0004743	25630
GO:0001889	25630
GO:0014870	25630
GO:0009629	25630
GO:0032868	25630
GO:0043531	25630
GO:1902912	25630
GO:0031100	25630
GO:0043403	25630
GO:0006096	25630
GO:0042802	25630
GO:0070324	25630
GO:0006006	25630
GO:0004459	24534
GO:0051287	24534
GO:0005515	24534
GO:0019674	24534
GO:0019900	24534
GO:0042802	24534
GO:0004457	24534
GO:0006089	24534
GO:0032868	25634
GO:0006796	25634
GO:0032094	25634
GO:0043231	25634
GO:0006094	25634
GO:0046838	25634
GO:1904638	25634
GO:0004346	25634
GO:0009743	25634
GO:0051156	25634
GO:0042593	25634
GO:0032869	25634
GO:0055088	25634
GO:0004346	303565
GO:0006796	303565
GO:0051156	303565
GO:0006094	303565
GO:0043531	24644
GO:0006094	24644
GO:0005975	24644
GO:0006096	24644
GO:0004618	24644
GO:0005829	24644
GO:0005524	24644
GO:0071548	361042
GO:0004613	361042
GO:0032024	361042
GO:0006094	361042
GO:0032496	361042
GO:0005739	361042
GO:0006107	361042
GO:0006090	361042
GO:0004611	361042
GO:0071333	361042
GO:0071356	361042
GO:0006116	361042
GO:0071320	362282
GO:0004550	362282
GO:0032496	362282
GO:0006107	362282
GO:0046327	362282
GO:0071377	362282
GO:0014823	362282
GO:0004613	362282
GO:1904640	362282
GO:0005737	362282
GO:0004611	362282
GO:0071333	362282
GO:0071356	362282
GO:0032869	362282
GO:0070741	362282
GO:0019003	362282
GO:0071332	362282
GO:0071347	362282
GO:0071300	362282
GO:0007568	362282
GO:0031406	362282
GO:0006094	362282
GO:0071456	362282
GO:0033993	362282
GO:0042593	362282
GO:0005525	362282
GO:0030145	362282
GO:0006006	362282
GO:0003987	296259
GO:0019413	296259
GO:0019542	296259
GO:0005739	296259
GO:0003987	311569
GO:0005737	311569
GO:0019413	311569
GO:0019542	311569
GO:0009374	25104
GO:0004736	25104
GO:0006094	25104
GO:0031406	25104
GO:0006090	25104
GO:0006107	25104
GO:0071073	25104
GO:0005524	25104
GO:0005739	25104
GO:0006108	24551
GO:0051287	24551
GO:0016615	24551
GO:0030060	24551
GO:0019674	24551
GO:0006107	24551
GO:0006734	24551
GO:0006108	81829
GO:0043621	81829
GO:0016615	81829
GO:0046554	81829
GO:0030060	81829
GO:0005515	81829
GO:0006107	81829
GO:0005739	81829
GO:0005759	81829
GO:0006099	81829
GO:0006734	81829
GO:0005739	170587
GO:0006107	170587
GO:0006099	170587
GO:0006101	170587
GO:0004108	170587
GO:0006084	170587
GO:0006108	24368
GO:0004333	24368
GO:0005739	24368
GO:0006106	24368
GO:0006099	24368
GO:0005743	157074
GO:0006105	157074
GO:0008177	157074
GO:0022904	157074
GO:0005743	298596
GO:0006105	298596
GO:0008177	298596
GO:0022904	298596
GO:0032991	114597
GO:0019003	114597
GO:0006104	114597
GO:0045244	114597
GO:0004775	114597
GO:0044877	114597
GO:0006105	114597
GO:0005739	114597
GO:0004776	114597
GO:0006099	114597
GO:0006104	361071
GO:0004775	361071
GO:0006105	361071
GO:0005739	361071
GO:0006099	361071
GO:0032991	362404
GO:0019003	362404
GO:0006104	362404
GO:0045244	362404
GO:0044877	362404
GO:0006105	362404
GO:0005739	362404
GO:0004776	362404
GO:0006099	362404
GO:0045254	298942
GO:0051068	298942
GO:0051287	298942
GO:0006103	298942
GO:0043544	298942
GO:0004148	298942
GO:0009106	298942
GO:0050660	298942
GO:0007568	298942
GO:0006086	298942
GO:0005739	298942
GO:0045252	298942
GO:0006103	360975
GO:0006104	360975
GO:0005739	360975
GO:0031072	360975
GO:0004591	360975
GO:0006099	360975
GO:0006734	360975
GO:0051087	360975
GO:0045252	360975
GO:0006102	114096
GO:0006103	114096
GO:0004449	114096
GO:0006099	114096
GO:0006734	114096
GO:0006102	94173
GO:0006103	94173
GO:0004449	94173
GO:0006099	94173
GO:0006734	94173
GO:0001889	50655
GO:0043231	50655
GO:0005783	50655
GO:0005794	50655
GO:0051536	50655
GO:0048027	50655
GO:0003723	50655
GO:0005829	50655
GO:0003994	50655
GO:0030350	50655
GO:0006879	50655
GO:0006102	79250
GO:0001889	79250
GO:0051538	79250
GO:0035900	79250
GO:0005515	79250
GO:0005739	79250
GO:0006099	79250
GO:0003994	79250
GO:0006101	79250
GO:0051539	79250
GO:0006102	24479
GO:0048545	24479
GO:0004450	24479
GO:0005777	24479
GO:0008585	24479
GO:0050661	24479
GO:0014070	24479
GO:0006741	361596
GO:0004450	361596
GO:0060253	361596
GO:1904465	361596
GO:1903976	361596
GO:0004616	100360180
GO:0019521	100360180
GO:0043231	100360180
GO:0005975	100360180
GO:0009051	100360180
GO:0031406	100360180
GO:0030246	100360180
GO:0006098	100360180
GO:0006739	100360180
GO:0050661	100360180
GO:0009052	501157
GO:0043231	501157
GO:0004750	501157
GO:0048029	501157
GO:0030246	501157
GO:0006098	501157
GO:0009052	362383
GO:0004751	362383
GO:0043231	362383
GO:0048029	362383
GO:0030246	362383
GO:0006098	362383
GO:0019693	362383
GO:0030976	64524
GO:0005789	64524
GO:0009052	64524
GO:0043231	64524
GO:0004802	64524
GO:0046390	64524
GO:0048029	64524
GO:0030246	64524
GO:0005777	64524
GO:0006098	64524
GO:0000287	64524
GO:0032991	24689
GO:0043531	24689
GO:0019003	24689
GO:0006015	24689
GO:0006167	24689
GO:0031100	24689
GO:0005515	24689
GO:0009165	24689
GO:0004749	24689
GO:0030246	24689
GO:0016208	24689
GO:0002189	24689
GO:0005524	24689
GO:0019693	24689
GO:0000287	24689
GO:0032991	314140
GO:0043531	314140
GO:0019003	314140
GO:0006015	314140
GO:0006167	314140
GO:0031100	314140
GO:0005515	314140
GO:0009165	314140
GO:0004749	314140
GO:0030246	314140
GO:0016208	314140
GO:0002189	314140
GO:0005524	314140
GO:0019693	314140
GO:0000287	314140
GO:0008584	298954
GO:0009052	83688
GO:0006002	83688
GO:0043231	83688
GO:0048029	83688
GO:0030246	83688
GO:0004801	83688
GO:0005829	83688
GO:0006098	83688
GO:0019682	83688
GO:0004345	298655
GO:0043231	298655
GO:0005975	298655
GO:0005737	298655
GO:0097305	298655
GO:0030246	298655
GO:0005739	298655
GO:0006739	298655
GO:0050661	298655
GO:0004345	24377
GO:0032094	24377
GO:0043231	24377
GO:0010041	24377
GO:0009051	24377
GO:2000378	24377
GO:0045471	24377
GO:0005634	24377
GO:0005536	24377
GO:0043523	24377
GO:0051156	24377
GO:0030246	24377
GO:1904879	24377
GO:0005829	24377
GO:0006098	24377
GO:0061052	24377
GO:0050661	24377
GO:0014070	24377
