geneset	gene
GS248329	14281
GS248329	14282
GS248329	20525
GS248329	15242
GS248329	16477
GS248329	17294
GS248329	18636
GS248329	19016
GS248329	20425
GS248329	20665
GS248329	22436
GS248329	13656
GS248329	14748
GS248329	14284
GS248329	20887
GS248329	235320
GS248329	20672
GS248329	12575
GS248329	14229
GS248329	19252
GS248329	12053
GS248329	14623
GS248329	14758
GS248329	19416
GS248329	20538
GS248329	12737
GS248329	12741
GS248329	67405
GS248329	20393
GS248329	21946
GS248329	23882
GS248329	24055
GS248329	26556
GS248329	26939
GS248329	27273
GS248329	223775
GS248329	53608
GS248329	53975
GS248329	53417
GS248329	57875
GS248329	56338
GS248329	22295
GS248329	59090
GS248329	80915
GS248329	66119
GS248329	55942
GS248329	66853
GS248329	67217
GS248329	67451
GS248329	67731
GS248329	67839
GS248329	70533
GS248329	68895
GS248329	101401
GS248329	69581
GS248329	69632
GS248329	223828
GS248329	70097
GS248329	70807
GS248329	70834
GS248329	213393
GS248329	329502
GS248329	72287
GS248329	72344
GS248329	230379
GS248329	74155
GS248329	74189
GS248329	74191
GS248329	74370
GS248329	74448
GS248329	319934
GS248329	74646
GS248329	74747
GS248329	74936
GS248329	76459
GS248329	76487
GS248329	76574
GS248329	78177
GS248329	78754
GS248329	60599
GS248329	56405
GS248329	56358
GS248329	57435
GS248329	56323
GS248329	85030
GS248329	100017
GS248329	217410
GS248329	111174
GS248329	140917
GS248329	170799
GS248329	71371
GS248329	215418
GS248329	108960
GS248329	238377
GS248329	319405
GS248329	319655
GS248329	239273
GS248329	241303
GS248329	115489686
GS248329	240869
GS248329	102634835
GS248329	81879
GS248329	230162
GS248329	219134
GS248329	237465
GS248329	320844
GS248329	237625
GS248329	217837
GS248329	68119
GS248329	73649
GS248329	226115
GS248329	225872
GS248329	271005
GS248329	240672
GS248329	258456
GS248329	381924
GS248331	11486
GS248331	11838
GS248331	11839
GS248331	12916
GS248331	68465
GS248331	13170
GS248331	13614
GS248331	13654
GS248331	14176
GS248331	14281
GS248331	14282
GS248331	20525
GS248331	15242
GS248331	16477
GS248331	17294
GS248331	18636
GS248331	19016
GS248331	20425
GS248331	20665
GS248331	22436
GS248331	13656
GS248331	14748
GS248331	14284
GS248331	20887
GS248331	235320
GS248331	20672
GS248331	12575
GS248331	14229
GS248331	19252
GS248331	12053
GS248331	14623
GS248331	14758
GS248331	19416
GS248331	20538
GS248331	12737
GS248331	12741
GS248331	67405
GS248331	20393
GS248331	21946
GS248331	23882
GS248331	24055
GS248331	26556
GS248331	26939
GS248331	27273
GS248331	223775
GS248331	53608
GS248331	53975
GS248331	53417
GS248331	57875
GS248331	56338
GS248331	22295
GS248331	59090
GS248331	80915
GS248331	66119
GS248331	55942
GS248331	66853
GS248331	67217
GS248331	67451
GS248331	67731
GS248331	67839
GS248331	70533
GS248331	68895
GS248331	101401
GS248331	69581
GS248331	69632
GS248331	223828
GS248331	70097
GS248331	70807
GS248331	70834
GS248331	213393
GS248331	329502
GS248331	72287
GS248331	72344
GS248331	230379
GS248331	74155
GS248331	74189
GS248331	74191
GS248331	74370
GS248331	74448
GS248331	319934
GS248331	74646
GS248331	74747
GS248331	74936
GS248331	76459
GS248331	76487
GS248331	76574
GS248331	78177
GS248331	78754
GS248331	60599
GS248331	56405
GS248331	56358
GS248331	57435
GS248331	56323
GS248331	85030
GS248331	100017
GS248331	217410
GS248331	111174
GS248331	140917
GS248331	170799
GS248331	71371
GS248331	215418
GS248331	108960
GS248331	238377
GS248331	319405
GS248331	319655
GS248331	239273
GS248331	241303
GS248331	115489686
GS248331	240869
GS248331	102634835
GS248331	81879
GS248331	230162
GS248331	219134
GS248331	237465
GS248331	320844
GS248331	237625
GS248331	217837
GS248331	68119
GS248331	73649
GS248331	226115
GS248331	225872
GS248331	271005
GS248331	240672
GS248331	258456
GS248331	381924
GS248332	11486
GS248332	11838
GS248332	11839
GS248332	12916
GS248332	68465
GS248332	13170
GS248332	13614
GS248332	13654
GS248332	14176
GS248332	14281
GS248332	14282
GS248332	20525
GS248332	15242
GS248332	16477
GS248332	17294
GS248332	18636
GS248332	19016
GS248332	20425
GS248332	20665
GS248332	22436
GS248332	13656
GS248332	14748
GS248332	14284
GS248332	20887
GS248332	235320
GS248332	20672
GS248332	12575
GS248332	14229
GS248332	19252
GS248332	12053
GS248332	14623
GS248332	14758
GS248332	19416
GS248332	20538
GS248332	12737
GS248332	12741
GS248332	67405
