term	gene
GO:0006805	1544
GO:0046483	1544
GO:0032787	1544
GO:0070989	1544
GO:0016712	1544
GO:0034875	1544
GO:0005515	1544
GO:0042572	1544
GO:0008210	1544
GO:0019899	1544
GO:0009820	1544
GO:0016491	1544
GO:0042178	1544
GO:0009822	1577
GO:0042573	1577
GO:0008401	1577
GO:0002933	1577
GO:0042178	1577
GO:0008210	1577
GO:0070989	1577
GO:0005515	1577
GO:0016491	1577
GO:0101020	1577
GO:0008202	1577
GO:0005829	3292
GO:1903924	3292
GO:0006703	3292
GO:0042803	3292
GO:0005496	3292
GO:0070401	3292
GO:0050661	3292
GO:0005515	3292
GO:0004303	3292
GO:0004303	3294
GO:0008209	3294
GO:0005789	3294
GO:0006703	3294
GO:0032526	3294
GO:0047035	3294
GO:0005829	6783
GO:0031965	6783
GO:0043231	1312
GO:0018601	1571
GO:0016098	1571
GO:0006805	1571
GO:0004497	1571
GO:0046483	1571
GO:0018960	1571
GO:0001676	1571
GO:0120319	1571
GO:0002933	1571
GO:0019899	1571
GO:0020037	1571
GO:0016491	1571
GO:0008202	1571
GO:0046933	10632
GO:0005739	10632
GO:0005515	10632
GO:0042776	10632
GO:0005753	10632
GO:0005829	127124
GO:0005886	127124
GO:0051117	127124
GO:1902600	155066
GO:0046961	155066
GO:0005886	23545
GO:0036295	23545
GO:0005925	23545
GO:0005515	23545
GO:0005765	23545
GO:0006879	23545
GO:0043231	23545
GO:0030177	245973
GO:0042802	245973
GO:0070062	245973
GO:0005765	245973
GO:0005515	498
GO:0005739	506
GO:0005515	506
GO:0033615	513
GO:0046933	513
GO:0005515	513
GO:0009060	513
GO:0042776	513
GO:0005753	513
GO:0046933	514
GO:0005515	514
GO:0042776	514
GO:0005753	514
GO:0000275	514
GO:0005739	515
GO:0005515	517
GO:0005515	518
GO:0046933	521
GO:0005739	521
GO:0005515	521
GO:0042776	521
GO:0005753	521
GO:0036295	523
GO:0000221	523
GO:0005515	523
GO:0005654	523
GO:0030141	523
GO:0070062	523
GO:0005765	523
GO:0006879	523
GO:0005829	523
GO:0016020	523
GO:0043231	523
GO:1902600	525
GO:0070072	525
GO:0007605	525
GO:0001503	525
GO:0097254	525
GO:0000221	525
GO:0016471	525
GO:0055074	525
GO:0016324	525
GO:0005515	525
GO:0045851	525
GO:0042472	525
GO:0006885	525
GO:0070062	525
GO:0043231	526
GO:0030177	527
GO:0005925	527
GO:0005515	527
GO:0031625	527
GO:0070062	527
GO:0005765	527
GO:0016020	527
GO:0005765	529
GO:0016020	533
GO:0005515	533
GO:0005886	539
