term	gene
GO:0006103	234724
GO:0005739	52064
GO:0005739	230027
GO:0001701	12850
GO:0006979	12850
GO:0022904	12850
GO:0034599	12850
GO:0001306	12850
GO:0022008	12850
GO:0042775	12850
GO:0070584	12850
GO:0006744	12850
GO:0008340	12850
GO:0005739	12850
GO:0001841	12850
GO:0047057	27973
GO:0060348	27973
GO:0042373	27973
GO:0007596	27973
GO:0050820	27973
GO:0005739	71883
GO:0005739	217707
GO:0008146	54200
GO:0000103	54200
GO:0008386	13070
GO:0006700	13070
GO:0005739	13070
GO:0005743	15494
GO:0035634	15496
GO:0005743	15496
GO:0005739	15496
GO:0047783	110115
GO:0006704	110115
GO:0005739	110115
GO:0016095	57357
GO:0006488	57357
GO:0019348	57357
GO:0006694	94224
GO:0030539	94224
GO:0003865	94224
GO:0006702	94224
GO:0009617	53973
GO:0010468	53973
GO:0071614	107141
GO:0008392	107141
GO:0019369	107141
GO:0043651	107141
GO:0035634	13094
GO:0008404	13097
GO:0019369	13097
GO:0008405	13097
GO:0019369	13098
GO:0008405	13098
GO:0071614	404195
GO:0008392	404195
GO:0019369	404195
GO:0043651	404195
GO:0009617	56388
GO:0005737	56448
GO:0002244	69888
GO:0071614	72082
GO:0008392	72082
GO:0019369	72082
GO:0043651	72082
GO:0001701	15486
GO:0001890	15486
GO:0004303	27400
GO:0047023	27400
GO:0047044	27400
GO:0047035	27400
GO:0047045	27400
GO:0047024	27400
GO:0042417	12846
GO:0042420	12846
GO:0016036	12846
GO:0005739	12846
GO:0016206	12846
GO:0045177	791260
GO:1904591	791260
GO:0042424	791260
GO:0005737	791260
GO:0060117	791260
GO:0005515	791260
GO:0005783	791260
GO:0007605	791260
GO:0016206	791260
GO:0001525	13078
GO:0008631	13078
GO:0030199	13078
GO:0007155	13078
GO:0042572	13078
GO:0008285	13078
GO:0008210	13078
GO:0010575	13078
GO:0070301	13078
GO:0004497	13078
GO:0009404	13078
GO:0061304	13078
GO:0016712	13078
GO:0002930	13078
GO:0006725	13078
GO:0045766	13078
GO:0018894	13078
GO:0046427	13078
GO:0061298	13078
GO:0005739	13078
GO:0043542	13078
GO:0032088	13078
GO:0048514	13078
GO:0006809	13078
GO:0043065	13078
GO:2000377	13078
GO:0042574	13078
GO:0009636	13078
GO:0033629	13078
GO:0019369	13078
GO:0071603	13078
GO:0046466	13078
GO:0030336	13078
GO:0009617	13106
GO:0005783	13106
GO:0004497	13106
GO:0016324	110935
GO:0046034	110935
GO:0030534	110935
GO:0003096	110935
GO:0042048	110935
GO:0042472	110935
GO:0006693	110935
GO:0016328	110935
GO:0003091	110935
GO:0016323	110935
GO:0006885	110935
GO:0016020	110935
GO:0010468	110935
GO:0005737	110935
GO:1902600	110935
GO:0055064	110935
GO:0007605	110935
GO:0005829	110935
GO:0005902	110935
GO:0035812	110935
GO:0055075	110935
GO:0015078	110935
GO:0043209	11946
GO:0005743	11946
GO:0016020	11946
GO:0005739	11946
GO:0005515	11946
GO:0005524	11946
GO:0046933	11946
GO:0006629	11946
GO:0098761	11947
GO:0043209	11947
GO:0005743	11947
GO:0006933	11947
GO:0005739	11947
GO:0005515	11947
