ENTREZ_GENE_A	ENTREZ_GENE_B
65204	116590
25019	7157
300711	7157
685055	7157
114212	7157
50522	25679
24716	50522
50522	24716
500985	24716
24842	299331
24842	266759
24842	114700
312965	116643
116643	312965
50522	116643
362110	54254
170915	54254
24807	50522
246756	50522
170538	50522
24680	50522
29340	50522
25690	50522
25690	282827
25690	299331
25690	25242
311245	292732
5914	29468
5914	29468
5914	29468
83571	100190936
81646	50522
29682	25489
25489	29682
25489	170848
29682	50522
170848	50522
25262	50522
81678	50522
25679	50522
50557	50522
50557	25489
81678	50522
25262	50522
25679	50522
81678	50522
25262	50522
25679	50522
81678	50522
25262	50522
25679	50522
499655	294790
294790	24525
294790	83571
294790	246060
294790	81758
94201	363140
294790	363140
50522	24525
50522	83571
50522	246060
50522	81758
50522	363140
363188	81816
84482	309757
170509	50522
24329	500985
24329	50522
500985	306141
500985	50522
4734	294917
4734	114560
360533	24516
500985	25467
84020	50522
29722	23327
291553	322
291553	322
23327	29722
322	291553
23327	29722
29219	140941
5071	60331
83506	852088
24666	852088
140941	29219
140593	29219
140593	29219
6780	64205
6780	171350
6780	24668
66026	25387
25387	66026
66026	24180
24180	66026
287155	24588
287155	24588
360573	170851
360573	58960
360573	56011
360573	299331
360573	114562
94201	156726
156726	94201
246254	363445
307594	59117
307594	360971
307594	308003
307594	84391
307594	300158
307594	314764
307594	24917
307594	288064
307594	116549
307594	304488
307594	140908
307594	117016
307594	316794
307594	363445
307594	155151
307594	307548
307594	362715
307594	299940
307594	24771
307594	311163
307594	361522
307594	311078
307594	116671
307594	140908
116671	307594
116671	140908
307594	116671
307594	140908
24239	116643
24239	362912
364398	24239
5501	192234
5499	192234
293939	290823
25636	8349
25636	8359
25636	4155
24680	50522
362817	24525
24525	360643
24525	64515
24525	362817
24525	64515
360643	24525
360643	64515
362817	24525
24842	50522
24842	314856
24598	3308
24598	3320
24598	10273
363445	29219
4900	24242
315350	500017
29560	361258
29560	24874
29560	314856
29560	50522
24418	309774
24418	57120
24418	57120
57120	24418
309774	24418
83571	294790
294790	83571
50522	24380
50522	24379
114028	50522
114028	24205
114028	84353
114028	84027
84353	24205
84027	84353
84027	24205
84027	114028
83571	289508
289508	83571
29248	50522
24837	50522
5241	60462
5241	116674
5241	116674
116674	5241
29139	50522
50522	29139
24242	56813
24242	81753
24242	29555
24242	24875
24242	58959
24242	116506
24242	25051
24242	60432
24242	81779
24681	2569
287005	2569
57154	307799
24890	50522
50522	24890
24890	287155
24890	297994
287155	24890
287155	297994
25149	50522
24890	25490
24316	24408
24316	24409
24316	24408
24316	24409
24408	24316
24408	24409
25301	100360427
25301	24708
25301	83833
25301	24708
25301	83833
25301	100360427
8065	25562
8065	81807
99375	81807
99375	25562
855319	64547
3361477	64547
24778	50522
50522	25388
24415	10048
60590	293860
60590	362342
60590	300772
60590	83614
60590	25537
60590	25573
60590	361509
24417	56469
24419	56469
81672	56469
60590	56469
24417	10401
24419	10401
81672	10401
60590	10401
24417	8535
24419	8535
81672	8535
60590	8535
24417	7329
24419	7329
81672	7329
60590	7329
60590	7341
60590	501403
65199	301442
25736	690244
25736	499417
25736	301442
25736	25573
25489	55810
25489	57048
25489	23558
25489	25
25489	2257
25489	2287
25489	8416
25489	1983
25489	8550
25489	7528
25489	4133
25489	50818
25489	51776
25489	9962
25489	146227
25489	10000
25489	366
25489	7867
25489	2321
25489	673
25489	26519
25489	3053
25489	404093
25489	57118
25489	10110
25489	4215
25489	7006
25489	1020
25489	207
25489	5156
25489	176
25489	1326
25489	83707
25489	640
25489	5580
25489	2534
25489	5604
25489	658
25489	55172
25489	6300
25489	5998
25489	89953
25489	4915
25489	695
25489	1956
25489	661
25489	1457
25489	8576
25489	156
56082	50522
56082	304522
116470	25558
116470	25012
116470	24803
499417	24192
499417	25745
499417	25596
499417	25573
499417	50662
499417	29345
499417	29565
499417	29578
499417	24533
499417	24672
499417	50522
499417	29437
499417	54241
499417	54318
499417	29361
499417	56611
499417	60373
499417	64158
499417	64196
499417	29284
499417	79119
499417	24468
499417	60421
499417	29497
499417	81513
499417	81521
499417	81664
499417	81709
499417	83529
499417	83531
499417	83613
499417	83523
499417	81818
499417	24642
499417	83422
499417	94197
499417	83427
499417	170751
499417	171159
499417	171164
499417	171454
499417	245959
499417	266759
499417	24426
499417	64200
499417	29214
499417	171361
499417	299331
499417	300079
499417	295230
499417	24644
499417	29662
499417	65262
499417	79250
499417	287436
499417	64303
499417	81829
499417	81754
499417	369017
499417	60374
499417	114612
499417	294864
499417	288778
499417	293725
499417	362952
499417	295347
499417	171374
499417	316531
499417	294810
499417	360678
499417	287765
499417	300674
499417	287835
499417	291691
499417	450225
499417	140654
499417	293502
499417	301442
499417	291874
499417	298648
499417	308384
499417	362965
499417	64185
499417	317259
499417	315936
499417	114766
499417	363005
499417	29150
499417	299052
499417	308650
499417	314432
499417	360950
499417	361596
499417	314442
499417	499423
499417	297756
499417	499417
499417	289352
499417	293165
499417	290046
499417	362631
499417	311071
499417	63836
499417	353256
499417	501621
499417	305506
499417	308870
499417	361630
499417	499374
499417	365894
499417	315713
499417	500983
499417	300833
499417	316273
499417	84576
499417	497865
499417	26198
499417	291081
499417	500084
499417	306079
499417	300250
499417	64517
499417	288532
499417	301252
499417	24400
499417	117280
499417	362361
499417	287709
499417	288105
499417	295607
499417	361103
499417	361849
499417	292160
499417	308404
499417	297336
499417	360801
499417	314598
499417	304809
499417	304074
499417	304859
499417	314384
499417	317335
499417	307820
499417	314423
499417	361522
499417	116655
499417	29515
499417	679712
499417	363194
499417	117042
499417	307474
499417	500569
499417	308508
499417	363135
499417	80846
499417	362827
499417	314910
499417	683788
499417	116698
499417	291556
499417	64204
499417	751812
499417	29728
499417	306007
499417	361100
499417	303241
499417	690116
499417	679539
499417	680097
499417	687295
499417	689108
499417	688509
499417	362298
499417	316732
499417	681410
499417	100360950
499417	684969
499417	308839
499417	309197
499417	499523
499417	100363379
499417	297113
499417	500242
499417	682787
499417	100359916
499417	501403
499417	362332
499417	50662
499417	116698
84584	301442
309295	301442
361295	362827
691903	362827
362827	301442
362827	361295
362827	691903
691903	84584
84584	50522
218503	313474
25573	246150
25573	246150
380450	246150
246150	25573
246150	25573
24451	50522
50522	24451
8452	81807
8452	64525
99375	64525
8065	64525
25562	64525
25562	81807
25562	25562
25562	8065
10018	361970
361970	64547
361970	10018
64547	50522
25489	79039
25489	90933
25489	56941
25489	9014
25489	26291
25489	6769
25489	3005
25489	1983
25489	55803
25489	9040
25489	5638
25489	146227
25489	2287
25489	8514
25489	8550
25489	2257
25489	657
25489	1020
25489	5481
25489	26519
25489	9616
25489	55651
25489	404093
25489	55810
25489	10572
25489	65997
25489	4133
25489	84309
25489	84310
25489	140597
25489	126308
25489	140290
25489	148252
25489	170082
25489	7881
25489	284273
25489	5467
25489	22888
50688	23327
29381	23327
305123	64550
305123	252855
305123	299331
305123	80846
305123	303518
305123	298066
305123	81822
305123	363854
305123	80846
305123	303518
303518	305123
54302	50522
314856	54302
314856	54302
50522	24577
64639	56011
59109	50522
59109	25581
59109	29448
59109	171293
59109	291983
25081	24530
25022	281160
25022	616885
25054	627
25054	4908
50522	2308
21954	290561
21954	24837
290561	290561
25742	81722
81722	25742
290354	293860
290354	293860
290354	315840
290354	81634
290354	63836
290354	25745
60383	25522
60383	25023
25023	60383
314856	24842
314856	24888
314856	50522
50522	25747
314856	25747
314856	25747
314856	25747
25747	314856
25747	314856
20614	116470
20614	81802
20614	81803
20614	25130
25130	20614
116470	20614
81802	20614
81803	20614
116470	25558
81802	25558
25558	116470
25558	81802
25130	25558
25558	25130
81804	116470
81804	81802
116470	81804
81802	81804
116470	25558
81802	25558
25130	25558
25130	81804
81803	25558
29244	29244
171128	29244
12488	29647
12488	64563
316258	64563
64563	29647
64563	29647
64563	316258
64563	311163
64563	483489
64563	483489
64563	474928
64563	474928
64563	403752
64563	611010
474928	64563
4908	24596
4908	24596
4803	24596
18049	24596
314856	301442
81649	315139
315139	81649
116470	25558
81802	25558
25130	25558
24511	24907
24511	313494
24511	360820
24511	25614
24907	24511
24907	313494
24907	114489
24907	25614
1756	24511
1756	25614
1756	362242
24907	81822
24511	81822
29476	54250
17181	29220
280794	29220
81646	50522
680127	170538
680127	81749
170538	680127
6753	29365
171044	29365
25388	24176
24176	50522
114856	50522
50522	114856
311245	308362
308362	311245
308362	113894
113894	311245
113894	308362
311245	113894
59109	24596
59109	311245
59109	363836
59109	113894
303285	363836
303285	113894
59109	85385
16924	24337
81518	50522
360471	7874
25262	116643
25262	84478
25262	315608
25122	7316
85273	24408
24521	50522
25489	25576
25489	56011
25489	56010
25489	29753
25489	25577
81922	50522
313024	50522
114901	81922
114901	85238
114901	140694
114901	25751
83497	311567
83497	50522
24766	17999
192269	24842
24842	192269
25467	50522
25467	314856
50522	24329
81736	691496
81736	64627
24392	50522
24329	50522
84353	50522
50522	4609
316258	309696
500985	54251
24392	50522
117277	50522
313474	50522
363445	117277
29495	50522
29495	314856
314856	29495
24680	50522
50522	24680
81515	50522
25150	50522
81515	500985
81515	500985
50522	63879
252971	24514
29357	50522
63868	24887
63868	24888
24887	63868
50522	24888
24874	29452
50522	29452
170509	50522
50522	25387
81515	50522
81515	50522
50522	24860
24860	50522
65204	29437
65204	24680
291609	25489
24954	396838
362817	24525
94201	24525
25729	24525
64033	24525
94201	64033
362817	64033
25729	362817
360643	83502
83502	295052
83502	362817
25262	290823
24231	287670
24231	117263
24231	29677
24231	117262
24231	25581
24231	29550
24231	307821
24231	117512
24231	29670
24231	24237
24231	29673
24231	29672
24231	24232
24231	29666
24231	117517
24231	311078
2874	117274
117274	403370
81827	29677
81827	307821
29677	307821
29677	287716
24948	50522
25729	362817
25729	291145
362817	291145
54237	291145
295052	291145
117263	81827
117526	81827
117526	117263
117526	25581
81827	117526
81827	117263
81827	25581
25581	117526
25581	81827
25581	81827
117526	81827
117526	25581
117526	117152
117152	81827
117152	25581
117152	117526
25400	81827
29669	25400
29677	25897
29144	29548
29144	81827
29144	24414
