geneset	term
GS26287	D005838
GS26287	D006801
GS26287	GO:0016265
GS26287	D014029
GS26287	D003365
GS26287	D012111
GS26287	D009538
GS26287	D055106
GS26287	D055106
GS26287	D005544
GS26287	D016015
GS26305	D014644
GS26305	D014029
GS26305	D012907
GS26305	D009538
GS26305	D003643
GS26305	GO:0016265
GS26305	D020641
GS26305	D001244
GS26305	D020641
GS26305	D014918
GS26305	D016022
GS26305	D000368
GS26305	D001244
GS26305	D011978
GS26305	D011978
GS26305	D011978
GS26305	D006801
GS26305	D012306
GS26305	D005819
GS26305	D000369
GS26305	D008722
GS26305	D016000
GS26305	D008875
GS26305	D002898
GS26305	D014029
GS26305	D005838
GS26305	D055106
GS26305	D000328
GS26305	D014029
GS26305	D009538
GS37108	D000544
GS37108	GO:0010467
GS37108	GO:0022008
GS37108	MA:0000168
GS37108	D017209
GS37108	D002477
GS37108	D046228
GS37108	D020869
GS37108	D006801
GS37108	D001921
GS37108	D006801
GS37108	D055495
GS37108	D005786
GS37108	MA:0000905
GS37108	D057229
GS37108	D008722
GS37108	GO:0007155
GS37108	GO:0042552
GS37108	D000437
GS37108	D000437
GS37108	D000328
GS37108	D016018
GS37108	D011180
GS37108	D016022
GS37108	D000368
GS37108	D019636
GS37108	D054875
GS37108	D002448
GS37108	D020869
GS37108	D000369
GS37108	D019636
GS37108	D020411
GS37108	D005625
GS37108	D006801
GS37108	D012333
GS37108	D000437
GS37108	D005190
GS37108	D008875
GS37108	GO:0005623
GS37108	D018401
GS37108	D011209
GS46978	D002878
GS46978	D001244
GS46978	D020022
GS46978	GO:0005694
GS46978	D017418
GS46978	D002448
GS46978	D006262
GS46978	GO:0007155
GS46978	D000437
GS46978	D009538
GS46978	D004247
GS46978	D002875
GS46978	D053487
GS46978	D005787
GS46978	D014029
GS46978	D014029
GS46978	D055106
GS46978	D002477
GS46978	D004200
GS46978	D015897
GS46978	D002894
GS46978	D011634
GS46978	D000428
GS46978	D002880
GS46978	D015815
GS46978	D053263
GS46978	D009426
GS46978	D006801
GS46978	D001315
GS46978	D011518
GS46978	D008875
GS46978	D020641
GS46978	GO:0005623
GS46978	D020690
GS46978	D000368
GS46978	D059019
GS46978	D016022
GS46978	D002883
GS46978	D014029
GS46978	D016341
GS46978	D009538
GS46978	D035061
GS46978	D015815
GS46978	D014026
GS46978	D000483
GS46978	D012042
GS46978	D009426
GS46978	D000328
GS46978	D020641
GS46978	D017346
GS46980	D009538
GS46980	D009426
GS46980	D012042
GS46980	D002880
GS46980	D011634
GS46980	D015897
GS46980	D059019
GS46980	D009538
GS46980	GO:0007155
GS46980	D000328
GS46980	D016022
GS46980	D000368
GS46980	D020690
GS46980	D016341
GS46980	D014026
GS46980	D017346
GS46980	D017418
GS46980	D002448
GS46980	D006262
GS46980	GO:0005694
GS46980	D002477
GS46980	D000428
GS46980	D002875
GS46980	D053263
GS46980	D015815
GS46980	D035061
GS46980	D011518
GS46980	D008875
GS46980	D004200
GS46980	D005787
GS46980	D001315
GS46980	D006801
GS46980	D014029
GS46980	D014029
GS46980	D004247
GS46980	D020641
GS46980	D014029
GS46980	D055106
GS46980	D002883
GS46980	D002878
GS46980	D001244
GS46980	D000437
GS46980	D020641
GS46980	D002894
GS46980	D000483
GS46980	GO:0005623
GS46980	D009426
GS46980	D020022
GS46980	D053487
GS46981	D017418
GS46981	D002878
GS46981	GO:0007155
GS46981	D020022
GS46981	D004247
GS46981	D006801
GS46981	D011634
GS46981	D009538
GS46981	D017346
GS46981	D053487
GS46981	D014026
GS46981	D016341
GS46981	D015897
GS46981	D000428
GS46981	D020641
GS46981	D020690
GS46981	D015815
GS46981	D014029
GS46981	D000368
GS46981	D002875
GS46981	D016022
GS46981	D053263
GS46981	D005787
GS46981	D000328
GS46981	D000483
GS46981	D014029
GS46981	D055106
GS46981	D009426
GS46981	GO:0005694
GS46981	D014029
GS46981	D008875
GS46981	D015815
GS46981	D035061
GS46981	D011518
GS46981	D012042
GS46981	D002894
GS46981	D009538
GS46981	D002477
GS46981	D001315
GS46981	D002880
GS46981	D009426
GS46981	GO:0005623
GS46981	D006262
GS46981	D002448
GS46981	D020641
GS46981	D004200
GS46981	D002883
GS46981	D059019
