geneset	term
GS14920	D012718
GS14920	D017450
GS14920	D012718
GS14920	D051401
GS14920	D044967
GS14920	D007031
GS14920	D011957
GS14920	D001053
GS14920	D011957
GS14920	D017450
GS14920	D017450
GS14920	D053399
GS14920	D005786
GS14920	D010770
GS14920	D007031
GS14920	D007031
GS14920	MA:0002502
GS14920	MA:0000173
GS14920	D015203
GS14920	D018345
GS14920	D051379
GS14920	D013812
GS14920	D009934
GS14920	D009020
GS75573	D008810
GS75573	D004364
GS75573	D009934
GS75573	D051379
GS75573	D020869
GS75573	D004435
GS75573	D020411
GS75573	GO:0010467
GS75573	D054369
GS75573	D004247
GS75573	D012926
GS75573	D013997
GS75573	D007031
GS75573	D013375
GS75573	D020133
GS75573	D046228
GS75573	D004435
GS75573	D009020
GS75573	D012926
GS75573	D001921
GS75573	MA:0000168
GS75573	D009020
GS75573	D000701
GS75573	D009020
GS75573	D013812
GS75573	D012321
GS75573	GO:0007165
GS75573	D007031
GS75573	D020133
GS75573	D003042
GS75573	GO:0009293
GS75573	D010902
GS75573	D020411
GS75573	D001835
GS75573	D000818
GS75573	D012194
GS75573	D051379
GS75573	D020869
GS75573	MA:0000173
GS75573	D009021
GS75573	D016133
GS75573	D005502
GS75573	D015398
GS75575	D001921
GS75575	D007031
GS75575	D012194
GS75575	D010902
GS75575	D012321
GS75575	GO:0007165
GS75575	D005502
GS75575	D008810
GS75575	D051379
GS75575	D020869
GS75575	MA:0000173
GS75575	D015398
GS75575	GO:0009293
GS75575	D004247
GS75575	D054369
GS75575	D009021
GS75575	D000818
GS75575	D001835
GS75575	D020411
GS75575	D004435
GS75575	D016133
GS75575	D012926
GS75575	D009020
GS75575	D012926
GS75575	D013375
GS75575	D051379
GS75575	D004435
GS75575	D020869
GS75575	GO:0010467
GS75575	MA:0000168
GS75575	D000701
GS75575	D009020
GS75575	D046228
GS75575	D013812
GS75575	D004364
GS75575	D013997
GS75575	D020133
GS75575	D020133
GS75575	D007031
GS75575	D009934
GS75575	D020411
GS75575	D009020
GS75575	D003042
GS75576	D007031
GS75576	D010902
GS75576	D004247
GS75576	MA:0000173
GS75576	D012321
GS75576	GO:0009293
GS75576	D009021
GS75576	D009020
GS75576	D054369
GS75576	GO:0007165
GS75576	D005502
GS75576	D020133
GS75576	D013997
GS75576	D000818
GS75576	D015398
GS75576	D020869
GS75576	D051379
GS75576	D012194
GS75576	D007031
GS75576	D008810
GS75576	D020133
GS75576	D020411
GS75576	D004435
GS75576	D016133
GS75576	D013375
GS75576	D012926
GS75576	D009020
GS75576	D012926
GS75576	D001921
GS75576	D051379
GS75576	D020869
GS75576	D046228
GS75576	D013812
GS75576	D004364
GS75576	D020411
GS75576	D003042
GS75576	D009934
GS75576	D001835
GS75576	D009020
GS75576	D000701
GS75576	MA:0000168
GS75576	GO:0010467
GS75576	D004435
GS75577	D051379
GS75577	D010902
GS75577	D020133
GS75577	D054369
GS75577	D020869
GS75577	D004247
GS75577	D004435
GS75577	D016133
GS75577	D012194
GS75577	GO:0009293
GS75577	D012926
GS75577	GO:0010467
GS75577	D020869
GS75577	D046228
GS75577	D013812
GS75577	D007031
GS75577	D009021
GS75577	D001835
GS75577	MA:0000168
GS75577	D000701
GS75577	D009020
GS75577	D009020
GS75577	D009934
GS75577	D008810
GS75577	D007031
GS75577	D004364
GS75577	D020411
GS75577	D009020
GS75577	D012321
GS75577	D003042
GS75577	GO:0007165
GS75577	D012926
GS75577	MA:0000173
GS75577	D005502
GS75577	D013375
GS75577	D020411
GS75577	D020133
GS75577	D000818
GS75577	D001921
GS75577	D015398
GS75577	D051379
GS75577	D004435
GS75577	D013997
GS75582	D000818
GS75582	D020869
GS75582	D057225
GS75582	D000339
GS75582	GO:0030424
GS75582	D001369
GS75582	GO:0007411
GS75582	D001369
GS75582	D020411
GS75582	D002394
GS75582	D008810
GS75582	GO:0005634
GS75582	D013287
GS75582	D013045
GS75582	D009020
GS75582	D008811
GS75582	D004364
GS75582	D010716
GS75582	D012380
GS75582	D013812
GS75582	D012333
GS75582	D046228
GS75582	D051379
GS75582	D000818
GS75582	GO:0003824
GS75582	GO:0023052
GS75582	D009714
GS75582	D020962
GS75582	D002394
GS75582	D019966
GS75582	D001522
GS75582	D008811
GS75582	D009020
GS75582	D051379
GS75582	D039961
GS75582	D014158
GS75582	D008906
GS75583	D013812
GS75583	D020962
GS75583	D051379
GS75583	D008811
GS75583	D000818
GS75583	D008811
GS75583	D051379
GS75583	D046228
GS75583	D009020
GS75583	D012333
GS75583	D020869
GS75583	D013045
GS75583	D012380
GS75583	D010716
GS75583	D004364
GS75583	D008811
GS75583	D009020
GS75583	D019966
GS75583	D008810
GS75583	D013287
GS75583	D051379
GS75583	D002394
GS75583	D002394
GS75583	D020411
GS75583	D039961
GS75583	D001369
GS75583	GO:0007411
GS75583	D001369
GS75583	GO:0030424
GS75583	D014158
GS75583	D000339
GS75583	D000818
GS75583	D008906
GS75583	GO:0005634
GS75583	D001522
GS75583	D009714
GS75583	GO:0023052
GS75583	GO:0003824
GS75583	D057225
GS75585	D019966
GS75585	D001522
GS75585	D009714
GS75585	GO:0023052
GS75585	GO:0003824
GS75585	D014158
GS75585	D051379
GS75585	D013812
GS75585	D008811
GS75585	D012380
GS75585	D008906
GS75585	GO:0005634
GS75585	D000818
GS75585	D020869
GS75585	D009020
GS75585	D010716
GS75585	D002394
GS75585	D039961
GS75585	D004364
GS75585	D008811
GS75585	D013045
GS75585	D009020
GS75585	GO:0030424
GS75585	D001369
GS75585	D000339
GS75585	D020411
GS75585	D051379
GS75585	D008811
GS75585	D000818
GS75585	D051379
GS75585	D046228
GS75585	D012333
GS75585	D057225
GS75585	GO:0007411
GS75585	D008810
GS75585	D002394
GS75585	D020962
GS75585	D013287
GS75585	D001369
GS75586	D039961
GS75586	D020411
GS75586	D001522
GS75586	D009020
GS75586	D008811
GS75586	D008810
GS75586	D019966
GS75586	D051379
GS75586	D020869
GS75586	D051379
GS75586	D013812
GS75586	D000818
GS75586	D051379
GS75586	D046228
GS75586	D012333
GS75586	D013812
GS75586	D012380
GS75586	D010716
GS75586	D004364
GS75586	D008811
GS75586	D009020
GS75586	D000818
GS75586	D020962
GS75586	D002394
GS75586	GO:0005634
GS75586	D002394
GS75586	D009714
GS75586	GO:0023052
GS75586	GO:0003824
GS75586	D013045
GS75586	D008906
GS75586	GO:0030424
GS75586	D014158
GS75586	D057225
GS75586	D000339
GS75586	D001369
GS75586	GO:0007411
GS75586	D001369
GS75586	D013287
GS75643	D016000
GS75643	D020869
GS75643	D055785
GS75643	D001665
GS75643	D003932
GS75643	D051379
GS75643	D001921
GS75643	GO:0010467
GS75643	D012201
GS75643	MA:0000891
GS75643	D051379
GS75643	D049229
GS75643	MA:0000168
GS75643	D013287
GS75643	MA:0000891
GS75643	D006728
GS75643	D000701
GS75643	D000431
GS75643	D009020
GS75643	D009934
GS75643	D000704
GS75643	D003042
GS75643	D004364
GS75643	D009538
GS75643	D004210
GS75643	D010988
GS75643	D008810
GS75643	D049229
