ENTREZ_GENE_A	ENTREZ_GENE_B
4103	7381
10054	10055
2771	4188
2571	23498
7431	79050
8623	8623
23641	121536
10534	151254
4188	79088
11030	84528
9099	29911
1312	9319
408	23099
4188	85019
862	51225
3880	9814
54927	83755
54472	84528
60491	222389
22981	80125
84680	84680
11170	30008
3866	149371
6426	84708
55758	80321
7718	11143
57596	283987
55068	60491
5359	59277
8379	22981
331	55093
6999	8623
10656	22893
51729	84816
27316	80125
7321	56658
7704	8405
2130	414061
27095	79090
4110	9167
11007	27229
11052	11059
81628	122786
56159	143379
10063	84056
7414	10152
327	327
2130	2194
56952	80308
4188	6548
59349	80306
7186	27301
79873	92610
4110	60491
11284	83755
4188	6495
6271	6286
5515	9319
5933	57596
9146	80318
7360	10425
22954	29979
1856	151871
9802	10254
373	79173
6304	7329
4591	9513
1271	10513
5359	25844
3880	10152
9721	10253
4782	23174
7205	9883
5866	79873
2130	54475
4188	26511
2130	55329
5300	10743
4782	55888
9513	10197
7031	29979
2130	158471
23265	79036
51127	56658
10241	51588
5359	284440
9491	10656
55663	84838
7186	7704
30008	57088
2130	11060
84970	93487
89885	138065
65220	84708
4188	4188
7186	9513
79734	201965
2801	3983
9319	200523
3609	4110
7138	11007
8676	10629
11007	54474
7186	51224
9513	138046
5704	5705
170082	541468
4110	8715
27316	83640
6418	80764
64112	151871
868	26003
9391	51647
4188	414157
7205	54855
57144	84445
868	1407
3190	9402
7251	8495
7186	9825
4207	56159
2810	79666
11143	29911
3983	57596
51517	63948
9189	60491
2059	11007
3190	3190
4110	23059
30008	54557
6303	117246
81628	84080
373	2669
9025	80817
58500	83755
5092	9513
10743	54997
1173	9513
10513	79594
4591	11170
11030	11135
87	7518
7186	170082
3866	84260
9513	55145
51562	51562
26128	79959
1602	7329
9319	79754
4034	57142
10241	80125
4110	10495
10534	80022
9319	9319
163	79132
23265	90410
9046	26128
79036	79873
9802	11201
2130	4707
5987	85302
9404	79088
83755	100131997
407	27232
163	4292
56159	84330
9319	9587
9814	55698
331	140735
10656	27316
5573	84281
2670	9124
4188	164592
5682	10241
5830	23410
9129	11007
2801	58500
665	2130
7329	23386
3306	23640
2563	29979
3021	10919
8572	11030
5300	23062
11007	51138
5866	5866
2670	9729
3866	112869
11284	58529
5987	7704
11252	11252
9810	84767
3866	79696
80028	83755
163	8907
55068	84708
11067	83878
8341	56647
5359	22822
2130	387338
11170	23641
4188	9721
113675	113675
329	3728
71	1072
51684	169792
4110	8644
4188	9841
10567	51534
11007	85302
5108	84289
7186	9491
10513	493861
9146	83878
22893	57596
4110	79706
10127	30008
29911	55388
1854	9825
54550	79172
8241	220108
27316	84708
10539	65220
3854	3880
8061	23641
7186	84080
2130	11103
9513	64769
11007	80764
4110	9729
5725	10241
11007	64769
30008	117144
7186	51324
11040	51076
9491	125170
5725	6626
84528	113878
10197	79446
3866	23641
9189	10597
4292	23650
9491	29911
10241	55684
11117	66036
5359	7536
11180	23580
10262	26039
9363	10567
71	71
7186	54971
79801	221302
10197	54819
4188	9729
8861	170463
9099	79656
7251	90678
84528	169966
4005	6772
54550	55093
10445	80817
9319	51700
8468	29922
7341	160140
23650	80705
7186	10758
4175	26525
3866	83878
51440	113878
1173	1856
10403	26258
22934	84708
7186	60491
5359	80125
10241	27132
5706	11007
3866	84832
5108	23392
4282	26003
4830	4833
3866	3875
2130	11059
6626	79002
25816	29079
9513	11007
10919	84726
59349	124460
10589	54107
5552	6449
26128	27332
163	4201
23214	23636
10534	79025
27335	51386
23641	79797
6810	8674
27111	92610
468	23641
9070	84661
54474	54474
11007	147687
2189	2553
2992	9883
9146	10919
8227	22981
7186	9729
22893	83755
11338	26511
10403	59349
60491	60491
51224	79036
30008	55367
54507	59277
5359	64115
8773	10152
9319	57559
11007	153733
4110	51534
4188	164312
7186	11063
84528	85302
9266	90060
2130	64777
1026	56159
11007	84707
5359	30008
10458	51517
9404	51317
5866	8766
3434	3437
9189	11321
8996	140885
6303	22980
8812	83878
60	11034
9319	81932
3853	51019
358	4188
677	1432
10813	22981
11007	54927
7704	55722
51534	253980
3735	7965
1856	10445
9319	26086
6431	10921
4110	10445
5601	80817
7186	84708
6871	11170
57820	57820
26128	93474
3219	83755
7329	10320
10513	113655
55209	151871
4188	7376
11030	84970
9513	414157
50619	57596
2130	6505
11007	51760
56906	83755
51019	57326
2130	65997
9513	80318
27232	79666
3507	55722
51534	54550
5528	8500
3661	5052
3609	7205
1856	84904
7186	27125
7316	9802
11030	55684
10656	80125
79036	84289
54997	55297
79036	80125
23641	55211
3091	6759
2670	9260
51545	84445
57596	58500
9402	11030
4110	51619
407	1856
10567	56997
55885	79800
56341	56341
1676	2130
5252	11030
9319	79092
7431	11170
11030	11030
22934	51534
4188	168417
10174	27316
7704	23641
1198	57035
3183	55285
9726	22981
5359	79050
4110	124460
7186	9726
11007	79088
2553	8615
55662	140462
3190	9782
4188	7355
6696	9260
2771	5359
57085	57085
5465	246329
3880	5108
1407	4188
5682	81628
3983	7186
11007	80256
57142	79666
2130	22884
2577	64396
373	7536
27316	202559
3987	5932
11051	60491
4188	7597
7718	81576
3866	284058
8812	30008
9577	29086
10656	84708
23281	55734
7329	8767
8812	283518
7138	79156
83755	414157
83755	92595
5300	83637
4188	55049
9094	404550
6455	6455
5995	26128
7579	51282
4188	154865
23647	84062
1019	1032
10430	51225
7917	30008
10567	51324
9129	84705
56658	80019
5359	80726
998	11135
23099	51224
57596	117144
8405	151871
1731	23157
83755	84733
10445	138046
9729	51225
11007	54906
79576	220108
10169	84528
54474	80347
11007	80125
10044	10278
3104	135927
3183	11007
7186	91544
7536	10521
222389	284352
56159	81628
9319	79027
4188	196477
8468	8812
2130	6210
54550	85359
4110	5264
1725	79873
11170	83878
1937	196549
3866	27229
10919	26148
10521	51729
4188	84080
8676	8812
283518	283518
83878	85302
11007	84708
1407	83755
11007	54883
875	9513
7531	9721
23265	84816
9729	57596
4175	151254
23543	84528
7536	11060
9146	149371
27232	60491
2130	11052
362	4188
4678	8355
2130	56673
8812	222546
10241	94039
4176	9939
1102	1102
56159	57642
373	9883
10488	10513
29979	55374
6297	79959
4591	26150
51562	81565
5359	84080
8851	81628
1173	29079
54474	84832
2810	10733
6602	83878
3433	3437
55322	84337
1488	10742
2130	55249
3728	55093
9802	51545
5129	11007
79571	83878
4110	78990
10241	25804
7414	79173
51157	81628
8940	83755
57333	158471
11338	22827
26505	83755
3866	164127
1615	7965
2130	138065
6303	81628
7329	9260
4188	115817
51324	56474
196383	196383
1173	10320
22981	27238
1838	7186
5050	84708
11145	29979
4591	114822
7408	63948
54507	117144
8985	285596
153733	374618
27111	51538
4110	25953
4833	9319
2762	2762
6687	83755
51138	83878
5910	51562
4188	10169
56159	220136
2130	4515
9470	56478
4698	9802
2801	27229
10513	84219
2130	7288
11158	84984
7431	54474
5886	8878
7979	55795
11030	84904
9636	11274
8204	23641
373	23062
23099	55885
11007	84445
2146	11007
665	665
26511	83755
3866	55758
6616	8676
9319	57707
26353	27129
54974	55531
22934	55093
3866	54474
5859	7186
83755	83755
55698	84528
7168	79036
1856	11338
10907	121268
11007	64376
57326	151871
3603	83878
2130	11030
26061	116225
22981	84445
23199	79873
9802	26574
4188	84527
9513	10567
2752	79666
83878	89885
22934	22934
2130	3792
3646	60313
10489	11030
6464	10241
3866	7251
51074	79873
23641	54552
4110	81565
7186	60496
3198	26511
7135	11007
3609	83755
22981	196441
2670	7431
25788	51157
51361	58500
11052	79637
2130	51778
55662	85302
1602	55577
2810	4140
79036	90410
2130	348487
7572	81576
1856	92610
468	11219
55145	79169
4188	113655
11007	164127
10241	11345
1488	7005
5601	7597
5990	222546
5359	9140
4354	51421
7329	9726
27229	113675
83640	84528
1152	140462
54165	56658
26086	83878
2203	64430
10363	55110
5372	5870
2189	9189
83755	164592
9456	51225
7718	55663
22981	284058
5050	5050
2130	3159
8773	51225
3190	79171
6944	10241
705	4591
85359	283518
1848	4188
10174	56243
1635	79959
8812	11030
7186	80764
9111	9146
83755	164127
85302	90410
10179	11007
902	5682
10534	80125
11051	79869
8324	29979
7314	9802
27229	79991
55565	541468
11030	51545
4188	10922
8697	25788
66036	66036
4110	4715
9099	11007
4110	58529
7917	59349
8637	9470
5886	84993
7429	56159
5359	129807
60491	92610
59349	84708
4085	81628
8878	23710
