geneset	term
GS14947	GO:0010467
GS14947	D011699
GS14947	D012926
GS14947	D001921
GS14947	D000428
GS14947	D046228
GS14947	D051381
GS14947	D009419
GS14947	D002477
GS14947	GO:0012501
GS14947	GO:0005634
GS14947	D003643
GS14947	D006624
GS14947	MA:0000168
GS14947	MA:0000191
GS14947	GO:0010467
GS14947	D020869
GS14947	GO:0043069
GS14947	GO:0050807
GS14947	MA:0000895
GS14947	D020133
GS14947	GO:0016265
GS14947	MA:0000905
GS14947	D000328
GS14947	MA:0000905
GS14947	D009714
GS14947	D000679
GS14947	D009714
GS14947	GO:0045202
GS14947	GO:0007411
GS14947	D001369
GS14947	D011919
GS14947	D015203
GS14947	D016923
GS14947	GO:0030424
GS14947	D025341
GS14947	D009479
GS14947	GO:0043067
GS14947	GO:0008219
GS14947	MA:0000893
GS14947	D016424
GS14947	D009479
GS14947	D004326
GS14947	GO:0042063
GS14947	D000200
GS14947	D012718
GS14947	D053263
GS14947	D000428
GS14948	D020869
GS14948	D001923
GS14948	D016000
GS14948	D000818
GS14948	D000428
GS14948	D053263
GS14948	D012718
GS14948	D000200
GS14948	GO:0042063
GS14948	D004326
GS14948	D009479
GS14948	D016424
GS14948	MA:0000893
GS14948	GO:0008219
GS14948	GO:0043067
GS14948	D009479
GS14948	GO:0030424
GS14948	D016923
GS14948	D025341
GS14948	MA:0000887
GS14948	D011919
GS14948	MA:0000217
GS14948	D015203
GS14948	D001369
GS14948	GO:0007411
GS14948	GO:0045202
GS14948	D009714
GS14948	MA:0000905
GS14948	D000328
GS14948	MA:0000905
GS14948	GO:0016265
GS14948	D000679
GS14948	D020133
GS14948	D009714
GS14948	MA:0000895
GS14948	GO:0050807
GS14948	GO:0043069
GS14948	D020869
GS14948	GO:0010467
GS14948	MA:0000191
GS14948	MA:0000168
GS14948	D006624
GS14948	D002477
GS14948	D051381
GS14948	D046228
GS14948	D000428
GS14948	D001921
GS14948	D012926
GS14948	GO:0010467
GS14948	MA:0000168
GS14948	D000431
GS14948	D051381
GS14948	D001921
GS14948	D003643
GS14948	GO:0005634
GS14948	GO:0012501
GS14948	D009419
GS14948	GO:0005623
GS14948	D011699
GS14948	D006624
GS14948	D011699
GS14948	D002421
GS14948	D009478
GS14948	D013569
GS14948	D000679
GS14948	D051381
GS14948	D020411
GS14948	GO:0019226
GS14948	D016014
GS18838	D018076
GS18838	D019870
GS18838	D006624
GS18838	D051381
GS18838	D004334
GS18838	D020411
GS18838	D003580
GS18838	D034284
GS18838	D000818
GS18838	D003576
GS18838	D013812
GS18838	D020411
GS18838	D000431
GS18838	D009243
GS18838	D010088
GS18838	D006624
GS18838	D010088
GS18838	MA:0000168
GS18838	MA:0000191
GS18838	D014503
GS18838	D014867
GS18838	GO:0016020
GS18838	D051381
GS18838	D000431
GS18838	D006624
GS18838	MA:0000191
GS18838	D001921
GS18838	GO:0010467
GS18838	D009245
GS18838	D001519
GS18838	D046228
GS18838	D013812
GS18838	D020727
GS18838	D010716
GS18838	D051381
GS18838	D045304
GS18838	MP:0003674
GS18838	D010455
GS18838	D014867
GS18838	D011917
GS18838	D042967
GS18838	D014451
GS18838	D008566
GS18838	D002570
GS18838	GO:0046960
GS18838	D018384
GS18838	D042942
GS18838	D000431
GS18840	GO:0046960
GS18840	D019870
GS18840	D011917
GS18840	D003580
GS18840	D000431
GS18840	D008566
GS18840	D006624
GS18840	D020411
GS18840	D051381
GS18840	D000431
GS18840	D006624
GS18840	D020411
GS18840	MA:0000191
GS18840	D001921
GS18840	D001519
GS18840	D004334
GS18840	D014503
GS18840	D046228
GS18840	D018076
GS18840	D013812
GS18840	D042967
GS18840	D020727
GS18840	D000818
GS18840	D010716
GS18840	D009243
GS18840	D051381
GS18840	D010088
GS18840	D014451
GS18840	D010088
GS18840	D020411
GS18840	D000431
GS18840	D006624
GS18840	D018384
GS18840	D009245
GS18840	D045304
GS18840	MP:0003674
GS18840	D014867
GS18840	D003576
GS18840	D014867
GS18840	GO:0016020
GS18840	D018076
GS18840	D034284
GS18840	D010455
GS18840	D042942
GS18840	D002570
GS18840	MA:0000168
GS18840	MA:0000191
GS18840	D013812
GS18840	D051381
GS18840	GO:0010467
GS37147	D001921
GS37147	D000428
GS37147	GO:0043066
GS37147	D019204
GS37147	D012313
GS37147	D012313
GS37147	D000428
GS37147	D014867
GS37147	D012313
GS37147	D004326
GS37147	D004326
GS37147	D016424
GS37147	D014157
GS37147	GO:0006469
GS37147	D000818
GS37147	D030541
GS37147	D005786
GS37147	D009714
GS37147	D009714
GS37147	D000328
GS37147	GO:0005634
GS37147	GO:0005634
GS37147	D020411
GS37147	D000431
GS37147	D010770
GS37147	D009857
GS37147	GO:0023052
GS37147	GO:0010467
GS37147	D000431
GS37147	D020133
GS37147	D051381
GS37147	D046228
GS37147	GO:0045859
GS37147	D001522
GS37147	D051381
GS37147	D012646
GS37147	GO:0016301
GS37147	GO:0004672
GS37147	D011494
GS37147	D005518
GS37147	D000428
GS37147	D051381
GS37147	D007091
GS37147	D009714
GS37147	D002492
GS37147	GO:0010467
GS37147	D012926
GS37152	D000107
GS37152	MP:0003674
GS37152	D006128
GS37152	D002492
GS37152	D018384
GS37152	MA:0000358
GS37152	D000431
GS37152	D004195
GS37152	D000208
GS37152	D000431
GS37152	D008660
GS37152	D057890
GS37152	D008099
GS37152	D008745
GS37152	GO:0007613
GS37152	D051381
GS37152	D022781
GS37152	D006657
GS37152	D008099
GS37152	D004305
GS37152	GO:0010467
GS37152	D036341
GS37152	D022781
GS37152	D005786
GS37152	MA:0000059
GS37152	D004435
GS37152	D022781
GS37152	D017208
GS37152	D036341
GS37152	D001769
GS37152	D008568
GS37152	D018384
GS37152	D008722
GS37152	D008745
GS37152	D004798
GS37152	MA:0000009
GS37152	D044127
GS37152	D000818
GS37152	GO:0032259
GS37152	D004326
GS37152	D012718
GS37152	D002908
GS37152	D001835
GS37152	D006657
GS37152	GO:0040007
GS37152	D020411
GS37152	D004032
GS37152	D000431
GS37152	D046228
GS37152	D004798
GS37152	D051381
GS37152	D000437
GS37152	D000107
GS37152	D051381
GS37152	GO:0008152
GS37165	D046228
GS37165	D000107
GS37165	GO:0008152
GS37165	D000437
GS37165	D004305
GS37165	D020411
GS37165	D001769
GS37165	D051381
GS37165	D022781
GS37165	D004435
GS37165	D002492
GS37165	D008568
GS37165	D022781
GS37165	D018384
GS37165	D000431
GS37165	D008722
GS37165	D018384
GS37165	D000431
GS37165	D000818
GS37165	GO:0010467
GS37165	D000107
GS37165	D017208
GS37165	D000208
GS37165	D006657
GS37165	D051381
GS37165	D057890
GS37165	D008660
GS37165	D044127
GS37165	D001835
GS37165	D008745
GS37165	D051381
GS37165	D004798
GS37165	GO:0032259
GS37165	D004326
GS37165	D036341
GS37165	MP:0003674
GS37165	D008099
GS37165	D008745
GS37165	GO:0007613
GS37165	D004032
GS37165	D004195
GS37165	MA:0000059
GS37165	MA:0000358
GS37165	D005786
GS37165	D000431
GS37165	D012718
GS37165	D004798
GS37165	D006128
GS37165	D006657
GS37165	MA:0000009
GS37165	D008099
GS37165	GO:0040007
GS37165	D002908
GS37165	D022781
GS37165	D036341
GS37166	GO:0007613
GS37166	D004798
GS37166	D004798
GS37166	D051381
GS37166	D057890
GS37166	D044127
GS37166	D006657
GS37166	D022781
