geneset	gene
GS1229	3029
GS1229	23272
GS1229	6509
GS1229	29990
GS1229	3700
GS1229	523
GS1229	1277
GS1229	81031
GS1229	54541
GS1229	56944
GS1229	8851
GS1229	347
GS1229	26502
GS1229	1153
GS1229	5996
GS1229	9016
GS1229	10776
GS1229	10920
GS1229	10368
GS1229	9592
GS1229	6193
GS1229	3597
GS1229	22920
GS1229	10914
GS1229	10632
GS1229	10398
GS1229	60314
GS1229	54715
GS1229	7162
GS1229	55876
GS1229	5411
GS1229	10767
GS1229	6187
GS1229	7037
GS1229	4809
GS1229	10857
GS1229	26043
GS1229	9868
GS1229	10768
GS1229	2799
GS1229	7026
GS1229	6731
GS1229	9283
GS1229	477
GS1229	6662
GS1229	8673
GS1229	7284
GS1229	2335
GS1229	4978
GS1229	1634
GS1229	2207
GS1229	10198
GS1229	5727
GS1229	1337
GS1229	83752
GS1229	55228
GS1229	9921
GS1229	6376
GS1229	26018
GS1229	22836
GS1229	6854
GS1229	2110
GS1229	7314
GS1229	23178
GS1229	8440
GS1229	51227
GS1229	6687
GS1229	9143
GS1229	439921
GS1229	7334
GS1229	10376
GS1229	7277
GS1229	84790
GS1229	50999
GS1229	8531
GS1229	8801
GS1229	51382
GS1229	6137
GS1229	6604
GS1229	10841
GS1229	4199
GS1229	23657
GS1229	3490
GS1229	865
GS1229	55316
GS1229	51752
GS1229	7534
GS1229	5824
GS1229	9236
GS1229	11167
GS1229	64118
GS1229	1565
GS1229	7316
GS1229	23338
GS1229	23406
GS1229	8786
GS1229	71
GS1229	10802
GS1229	678
GS1229	88
GS1229	23208
GS1229	3059
GS1229	275
GS1229	51155
GS1229	10193
GS1229	149603
GS1229	51366
GS1229	7181
GS1229	9904
GS1229	79868
GS1229	144404
GS1229	1436
GS1229	16
GS1229	29105
GS1229	3836
GS1229	5707
GS1229	23429
GS1229	84900
GS1229	8502
GS1229	79666
GS1229	1431
GS1229	9791
GS1229	9936
GS1230	10522
GS1230	1984
GS1230	10591
GS1230	375704
GS1230	91612
GS1230	79085
GS1230	64710
GS1231	51312
GS1231	285596
GS1231	9270
GS1231	355
GS1231	7037
GS1232	7357
GS1232	5173
GS1232	56937
GS1232	351
GS1232	9581
GS1232	88
GS1234	9659
GS1234	56937
GS1234	9581
GS127590	5283
GS127590	1139
GS127590	4741
GS127590	3087
GS127590	4860
GS127590	4885
GS127590	5243
GS127590	7157
GS127590	1846
GS127590	4256
GS127590	397
GS127590	5880
GS127590	2290
GS127590	8788
GS127590	6530
GS127590	3574
GS127590	3875
GS127590	10006
GS127590	5394
GS127590	6678
GS127590	1363
GS127590	1621
GS127590	9045
GS127590	4671
GS127590	2643
GS127590	7112
GS127590	1956
GS127590	8439
GS127590	2948
GS127590	6662
GS127590	4060
GS127590	2745
GS127590	6347
GS127593	11315
GS127593	1152
GS127593	3419
GS127593	526
GS127593	5223
GS127593	259217
GS127593	5413
GS127593	6950
GS127593	3312
GS127593	5110
GS127593	7167
GS127593	308
GS127593	7532
GS127593	92399
GS127593	1808
GS127593	3303
GS127593	6812
GS127593	226
GS127593	1267
GS127593	1759
GS127593	2770
GS127593	5162
GS127593	3939
GS127593	3306
GS127593	5230
GS127593	230
GS127593	71
GS135214	2565
GS135214	2555
GS135214	2557
GS135214	2560
GS135214	9568
GS135214	11337
GS135214	5962
GS135214	6538
GS135214	2561
GS135214	51304
GS135214	2572
GS135214	29979
GS135214	6529
GS135214	2550
GS135214	2562
GS135214	2554
GS135214	2558
GS135214	2567
GS135214	2566
GS135214	2571
GS135214	140679
GS135214	4905
GS135214	2744
GS135214	10243
GS135214	18
GS135216	53615
GS135216	10755
GS135216	8085
GS135216	9739
GS135216	1786
GS137407	80209
GS137407	6879
GS137407	2039
GS137407	387036
GS137407	1298
GS137407	89781
GS137407	51611
GS137407	143
GS137407	152926
GS137407	5283
GS137407	7529
GS137407	9631
GS137407	125950
GS137407	375790
GS137407	112812
GS137407	89941
GS137407	1072
GS137407	220064
GS137407	59084
GS137407	55280
GS137407	9101
GS137407	80019
GS137407	6502
GS137407	48
GS137407	23283
GS137407	51497
GS137407	56995
GS137407	8379
GS137407	56975
GS137407	51202
GS137407	29763
GS137407	79716
GS137407	64788
GS137407	57120
GS137407	55968
GS137407	54733
GS137407	7461
GS137407	3187
GS137407	7349
GS137407	56100
GS137407	6310
GS137407	347733
GS137407	63027
GS137407	3751
GS137407	1152
GS137407	85452
GS137407	166
GS137407	6520
GS137407	2934
GS137407	6388
GS137407	54839
GS137407	114902
GS137407	63905
GS137407	6598
GS137407	7979
GS137407	260293
GS137407	29889
GS137407	641455
GS137407	6455
GS137407	55226
GS137407	10302
GS137407	642
GS137407	2768
GS137407	55323
GS137407	56906
GS137407	5184
GS137407	57583
GS137407	122704
GS137407	64080
GS137407	155400
GS137407	80700
GS137407	22826
GS137407	8195
GS137407	2060
GS137407	9374
GS137407	1815
GS137407	10001
GS137407	84334
GS137407	54942
GS137407	8727
GS137407	84456
GS137407	11331
GS137407	5442
GS137407	11044
GS137407	10278
GS137407	51247
GS137407	55361
GS137407	373156
GS137407	3638
GS137407	50813
GS137407	91057
GS137407	81929
GS137407	9028
GS137407	10498
GS137407	23040
GS137407	79071
GS137407	51280
GS137407	153733
GS137407	8453
GS137407	1687
GS137407	7629
GS137407	50651
GS137407	8911
GS137407	4358
GS137407	55100
GS137407	54919
GS137407	85007
GS137407	7770
GS137407	146691
GS137407	133686
GS137407	387751
GS137407	6829
GS137407	126823
GS137407	54955
GS137407	79956
GS137407	51014
GS137407	1871
GS137407	6727
GS137407	353376
GS137407	23625
GS137407	29880
GS137407	9529
GS137407	23118
GS137407	30815
GS137407	23770
GS137407	55658
GS137407	389
GS137407	10127
GS137407	26751
GS137407	23236
GS137407	6830
GS137407	26020
GS137407	7704
GS137407	84958
GS137407	60626
GS137407	7771
GS137407	10273
GS137407	7754
GS137407	6801
GS137407	10463
GS137407	11000
GS137407	10085
GS137407	11340
GS137407	54862
GS137407	51109
GS137407	65083
GS137407	64429
GS137407	55244
GS137407	10272
GS137407	1036
GS137407	57001
GS137407	54991
GS137407	134218
GS137407	7027
GS137407	54497
GS137407	4247
GS137407	25987
GS137407	6014
GS137407	80023
GS137407	56986
GS137407	8742
GS137407	25820
GS137407	140710
GS137407	3437
GS137407	178
GS137407	10799
GS137407	3433
GS137407	3434
GS137407	3988
GS137407	7798
GS137407	64789
GS137407	5467
GS137407	821
GS137407	8715
GS137407	6389
GS137407	5064
GS137407	1176
GS137407	7337
GS137407	22849
GS137407	23140
GS137407	221491
GS137407	3662
GS137407	128611
GS137407	55112
GS137407	26046
GS137407	127396
GS137407	10486
GS137407	9064
GS137407	64766
GS137407	8916
GS137407	8565
GS137407	83861
GS137407	847
GS137407	1945
GS137407	8805
GS137407	8312
GS137407	473
GS137407	24144
GS137407	3736
GS137407	9554
GS137407	4552
GS137407	6860
GS137407	3425
GS137407	6782
GS137407	10227
GS137407	26019
GS137407	229
GS137407	23244
GS137407	10307
GS137407	221830
GS137407	10240
GS137407	122416
GS137407	4296
GS137407	28978
GS137407	9991
GS137407	79171
GS137407	65005
GS137407	2009
GS137407	37
GS137407	4916
GS137407	254170
GS137407	4625
GS137407	55367
GS137407	478
GS137407	113829
GS137407	10741
GS137407	58986
GS137407	84895
GS137407	5610
GS137407	5770
GS137407	10573
GS137407	5917
GS137407	219844
GS137407	2621
GS137407	64327
GS137407	10567
GS137407	54952
GS137407	10163
GS137407	9527
GS137407	5338
GS137407	56254
GS137407	10144
GS137407	29118
GS137407	8890
GS137407	6124
GS137407	79053
GS137407	403313
GS137407	6505
GS137407	9061
GS137407	199990
GS137407	150274
GS137407	3145
GS137407	256471
GS137407	2874
GS137407	221937
GS137407	79846
GS137407	10062
GS137407	55615
GS137407	3456
GS137407	58493
GS137407	59338
GS137407	23541
GS137407	7428
GS137407	9892
GS137407	5796
GS137407	1607
GS137407	64718
GS137407	2872
GS137407	22853
GS137407	10522
GS137407	84572
GS137407	11034
GS137407	1984
GS137407	2098
GS137407	5298
GS137407	9107
GS137407	902
GS137407	3656
GS137407	79932
GS137407	51150
GS137407	7539
GS137407	55958
GS137407	9513
GS137407	23521
GS137407	84557
GS137407	91522
GS137407	57459
GS137407	2593
GS137407	4118
GS137407	5921
GS137407	3977
GS137407	27245
GS137407	9526
GS137407	3208
GS137407	94234
GS137407	113452
GS137407	7511
GS137407	57532
GS137407	2023
GS137407	55294
GS137407	64645
GS137407	84520
GS137407	9972
GS137407	30820
GS137407	8761
GS137407	55071
GS137407	5763
GS137407	1000
GS137407	399909
GS137407	26054
GS137407	8079
GS137407	6242
GS137407	8906
GS137407	84219
GS137407	58476
GS137407	6628
GS137407	80776
GS137407	3156
GS137407	26528
GS137407	10683
GS137407	1315
GS137407	9158
GS137407	152559
GS137407	126272
GS137407	8553
GS137407	6462
GS137407	84272
GS137407	11100
GS137407	22846
GS137407	64979
GS137407	84502
GS137407	91746
GS137407	55653
GS137407	8662
GS137407	3157
GS137407	55322
GS137407	4676
GS137407	115353
GS137407	1612
GS137407	26953
GS137407	27106
GS137407	4833
GS137407	54536
GS137407	23532
GS137407	1613
GS137407	1030
GS137407	57396
GS137407	64419
GS137407	202052
GS137407	63874
GS137407	783
