#rank	DIAMOnD_node	p_hyper
69	2879	1.0091126870726637e-72
70	10720	2.3543621876954937e-42
71	54658	8.72137093298302e-43
72	54576	3.8342193140296176e-45
73	54577	1.5989004550861942e-47
74	54600	6.333714640147609e-50
75	54579	2.386526411340153e-52
76	54575	8.563811305479596e-55
77	54659	2.9297684030325254e-57
78	7365	1.4169708537231777e-59
79	79799	6.731575441721998e-62
80	54578	2.075870459304244e-64
81	574537	9.438302658005073e-67
82	10941	4.227060219590073e-69
83	7367	1.1855313679105351e-71
84	7363	3.190245771733329e-74
85	54490	1.3428338348067609e-76
86	7364	3.390909054776492e-79
87	7366	8.229281877335585e-82
88	220074	2.2795155345425284e-84
89	54657	1.2919507091630147e-86
90	216	4.453289603773905e-81
91	220	1.3468849666616672e-83
92	8854	1.9751489190453386e-85
93	1592	2.572791144433556e-86
94	1562	7.583214658762774e-82
95	340665	7.068155409124424e-84
96	56603	6.534608929126121e-86
97	100861540	5.662477500817124e-88
98	316	2.1800978688443133e-87
99	54905	5.8320897945020795e-90
100	1551	1.193708573788071e-92
101	1558	1.5416144754712425e-92
102	1565	5.414488157335073e-67
103	107987478	8.304237585563356e-69
104	107987479	6.105039202660218e-72
105	1564	4.62997458194724e-72
106	874	4.578387927449718e-75
107	873	7.06960680771446e-73
108	3290	3.5218762891328587e-71
109	374875	2.9507925097856784e-73
110	1645	9.092468301125493e-68
111	8644	6.08072775430819e-67
112	3283	4.3841942112435884e-69
113	3284	5.697709388208527e-70
114	8630	4.746753947703411e-68
115	3294	9.061877421541955e-61
116	7923	1.1912548493190063e-63
117	1588	9.265952598556235e-66
118	6783	1.3504220410269149e-67
119	3292	1.1584674214403605e-68
120	51478	4.725258456955559e-71
121	51144	7.445700983004018e-73
122	6718	2.977600284778371e-67
123	6716	6.745911888898245e-69
124	6715	7.711189094400969e-71
125	79644	6.343194723803262e-71
126	3293	1.393490381047029e-66
127	1109	2.7725126518444556e-59
128	51170	3.3375673751454736e-51
129	8824	3.007929282007346e-49
130	4129	9.273033800169637e-48
131	55586	1.1884006728178942e-47
132	2990	1.605789089093515e-49
133	1066	8.639230635300602e-50
134	9365	2.4716121537335523e-47
135	644	5.191371768076045e-47
136	645	1.321147220453181e-46
137	7358	6.210155642928226e-43
138	1586	3.120343206689563e-41
139	1584	2.2390138177499896e-34
140	1585	1.2255153440367702e-34
141	2329	7.44892820734544e-32
142	GO:0005829	1.7385400911514043e-31
143	2330	8.279634078291753e-32
144	2327	6.295004635852071e-33
145	1589	2.1245402642838664e-30
146	6820	4.421331867905805e-32
