#rank	DIAMOnD_node	p_hyper
144	22808	1.334460453180954e-58
145	6237	7.203707501245329e-59
146	5581	1.211375384229763e-58
147	5336	6.882508501378372e-56
148	5335	4.749335296204077e-56
149	4543	4.9130649003237886e-48
150	2357	1.4450712855114168e-47
151	4544	4.7998174545523486e-45
152	6300	6.712237192983883e-45
153	5600	1.927088002649692e-46
154	5603	1.6857425046262759e-47
155	5601	3.2692420962644243e-49
156	1432	4.991663331622807e-51
157	5602	4.1921384655320694e-51
158	5599	1.3085965680579186e-51
159	5595	5.624289802761633e-53
160	5594	3.4212894483331446e-54
161	814	1.142547943302011e-44
162	135	2.7622031638638774e-44
163	136	9.10433156400067e-47
164	196883	3.905729089667479e-44
165	111	3.490246327066673e-46
166	107	2.990482124615824e-48
167	109	2.4593756537416324e-50
168	112	9.764491445933324e-52
169	113	6.94649684278619e-53
170	108	6.823541588558954e-55
171	114	4.847684511254793e-57
172	115	3.811951829498396e-58
173	55811	8.86090774589337e-59
174	5580	2.3758884437473738e-52
175	11069	1.0413667133869903e-51
176	10411	3.83878615333098e-52
177	163688	1.57289538846838e-50
178	810	1.8667145722630394e-52
179	818	4.671864372461743e-54
180	816	3.3979977651881175e-55
181	51806	3.9092985916207823e-57
182	805	4.490144527990769e-59
183	91860	2.1913956433043816e-61
184	815	1.0239986836383418e-63
185	817	1.924459585503896e-65
186	3710	2.2027396104577314e-45
187	3709	1.6916225321133373e-47
188	3708	1.578821447758899e-48
189	5568	1.436176238105367e-48
190	5567	2.1357291917040822e-48
191	5566	1.0522946552644229e-49
192	5582	4.451245776017631e-51
193	5579	3.04039624370229e-52
194	5578	1.9740479018002117e-52
195	255189	1.9549514361865516e-47
196	100137049	1.9895820516204805e-49
197	123745	2.71725275490379e-51
198	8681	2.6737574725474623e-53
199	8605	1.8465567676488323e-55
200	283748	1.2245731114372194e-57
201	5321	9.705420328959305e-57
202	10235	2.849741776140725e-51
203	10125	1.6963349429714232e-51
204	25780	5.88526262598676e-51
205	51196	1.3979766147604557e-46
206	1133	1.4044113098209913e-42
207	1816	2.3405864433548993e-43
208	155	9.433931106585547e-42
209	5565	4.5189520044637325e-43
210	53632	3.116824312554934e-45
211	5563	3.174126805714919e-46
212	51422	7.271899834545422e-48
213	5571	6.392869148752038e-50
214	5562	1.6205752000612584e-51
215	5564	1.045864660123425e-53
216	2308	1.1441923311331767e-50
217	10000	1.4117106431167544e-52
218	207	2.281284132140218e-54
219	208	1.7215455761997264e-55
220	2309	2.659275149838305e-48
221	4842	3.195138751293137e-48
222	5894	1.590658293043377e-43
223	3480	6.684492108046227e-41
224	2147	7.434228071159161e-41
225	8911	1.5768219364386404e-40
226	8913	1.534772828867757e-41
227	8912	1.8945554708677052e-43
228	2905	7.046177565760992e-45
229	2906	1.8333888119572652e-47
230	2902	1.9367425907290596e-49
231	2903	4.580324918836984e-50
232	786	1.751509355767925e-42
233	10369	8.382500101318349e-45
234	59284	1.699970276557035e-46
235	782	7.746921819653072e-49
236	785	5.66485465336813e-51
237	115727	1.9366043693946213e-53
238	784	2.8678236652215112e-55
239	27092	8.689942025304936e-57
240	59283	2.8517582702181488e-59
241	10368	8.795583017853637e-62
242	59285	2.5495851059653034e-64
243	9254	6.944896776654568e-67
244	27091	3.924337781211506e-69
245	55799	2.1943069698757086e-71
246	93589	2.7152803942067874e-73
247	783	4.749472060273113e-74
248	781	1.7638888835808643e-75
249	777	4.580099054017642e-75
250	5499	8.183652693169376e-68
