#rank	DIAMOnD_node	p_hyper
111	5731	1.433338881655092e-73
112	56413	1.1527573833968805e-76
113	7201	2.763107725842024e-79
114	886	8.757612788763138e-82
115	147	1.3512346270214858e-84
116	6870	1.0602786899682312e-87
117	3269	2.450427233873511e-90
118	2925	1.4704863525113929e-93
119	5724	7.96663920521815e-97
120	6865	2.9796554280575985e-98
121	148	2.6258004387131385e-98
122	6869	9.054313333705338e-101
123	7852	8.016412227202762e-96
124	GO:0005515	8.86428061768813e-56
125	2768	2.25543962981226e-54
126	2916	3.856350663670024e-54
127	1902	2.1470787357566444e-55
128	23566	8.310296925841297e-53
129	3577	4.189800386110875e-54
130	57121	2.338938910748906e-56
131	554	2.705188278601071e-59
132	9170	2.025909007645021e-61
133	2846	1.0425424502334427e-60
134	10161	4.26650298337207e-63
135	3579	2.3868228269037856e-65
136	551	1.1155679072336322e-60
137	183	1.52222044738879e-52
138	2357	6.3754628476329785e-50
139	3362	2.5322092732520227e-46
140	3360	1.6502534723836256e-46
141	135	3.951747226857337e-47
142	153	2.526364457301767e-46
143	136	2.228544767670974e-46
144	1816	2.0761500734589327e-47
145	1133	5.935254666469026e-49
146	GO:0005886	2.9171619548308965e-47
147	134	1.0631274636230237e-46
148	2147	3.380366798395827e-45
149	155	4.154202772866015e-45
150	3576	6.844567406819756e-44
151	6755	8.209596579764426e-44
152	4886	7.455659840397772e-45
153	56670	1.8892832387974663e-47
154	6752	1.3575045623449114e-48
155	2867	2.109209890085062e-51
156	8843	6.585116683961559e-54
157	338442	7.154564715445164e-57
158	27198	2.1282724864793303e-59
159	5020	2.05424919423207e-62
160	2693	5.379168839594855e-64
161	6751	5.026599630174939e-66
162	1906	6.499751359250066e-68
163	6750	1.5034433217840849e-64
164	4852	8.612625548103332e-64
165	1907	1.7484107994589726e-60
166	1908	1.4374736689659344e-62
167	51738	2.5216840245742704e-56
168	814	1.0391697003151921e-41
169	109	5.7260553433683134e-42
170	196883	4.727844162993966e-44
171	107	3.7358243937109e-46
172	112	1.1918863089070082e-47
173	55811	3.026240044134695e-49
174	113	8.06483890872092e-51
175	114	7.130613936831454e-53
176	108	4.650294816555588e-55
177	111	6.986822653539854e-57
178	115	1.8667626782178446e-58
179	5580	2.1372853262217217e-54
180	818	3.931481615416942e-54
181	816	3.2320706459193776e-55
182	163688	2.1259275078670184e-57
183	810	2.0668886440570247e-59
184	815	1.3262161608601248e-61
185	817	1.2796107205525905e-63
186	808	4.337955087226168e-65
187	51806	9.710517875529607e-67
188	91860	9.143606427085419e-69
189	805	3.3150572740663443e-71
190	801	3.102893992233521e-73
191	5568	1.1096122566184444e-53
192	5566	5.938228956262345e-55
193	10411	1.8641676615059758e-56
194	5567	1.6360619018533318e-56
195	3708	5.950794034669065e-58
196	3710	1.1578095014746214e-60
197	3709	1.4584212186632331e-59
198	11069	8.952133751641967e-56
199	5582	2.191884524059956e-55
200	5579	1.3130296511840286e-56
201	5578	8.525291055708672e-57
202	2906	1.0360473245917128e-52
203	2905	1.7584959705173366e-55
204	2902	2.563038993413343e-57
205	25780	7.782946746471501e-48
206	8911	1.0529551213555181e-47
207	8913	1.0589411501744382e-48
208	8912	7.554261417986267e-51
209	10000	5.7697719326609335e-47
210	207	8.468015997689973e-49
211	208	4.746527089186355e-50
212	53632	1.0670015856500725e-51
213	5565	5.372501455722674e-54
214	5563	5.8541639929129815e-55
215	51422	8.049121721036414e-57
216	5571	5.473939193492614e-59
217	5564	1.3843894948435002e-60
218	5562	8.942646053303411e-63
219	2309	1.6208923113251215e-48
220	4846	6.011523268642548e-47
221	51196	6.667154898204026e-46
222	5894	3.041094948920169e-45
223	10235	5.4924845951718615e-45
224	255189	2.7968126922223947e-46
225	100137049	2.7180656150214353e-48
226	123745	3.498460635654251e-50
227	10125	1.335457297463753e-52
228	8605	2.1848201767731173e-54
229	8681	1.3960877339902415e-56
230	283748	8.5681482797136e-59
231	5321	6.313604204734321e-58
232	2641	2.0042458417085408e-44
233	786	4.732601719572249e-44
234	10369	1.943920566578726e-46
235	782	3.389049055417175e-48
236	59284	1.326601346516829e-50
237	785	8.339321650508159e-53
238	115727	3.369201152767674e-55
239	784	3.123810073262097e-57
240	9254	9.562510140741973e-59
241	27092	2.7009651319282297e-61
242	59285	7.172900463135008e-64
243	59283	1.7909992411475387e-66
244	10368	4.203957887982575e-69
245	27091	2.0486892380012345e-71
246	55799	9.883113397461658e-74
247	93589	1.0559591142163953e-75
248	783	1.3621541484405152e-76
249	781	5.130783012020302e-78
250	777	4.1027852469305354e-77
