#rank	DIAMOnD_node	p_hyper
190	1268	8.142607437574175e-27
191	1813	8.793633311852961e-27
192	774	1.5445542184740276e-25
193	6300	1.1494145559057799e-24
194	5603	7.338526302249665e-26
195	5600	8.479606943407713e-27
196	1432	7.098090115451527e-28
197	5595	3.1955611256622654e-24
198	5594	8.717283639013532e-25
199	3350	7.717537487576589e-24
200	3352	2.7291412292937715e-25
201	3355	9.054054302751241e-27
202	3354	8.806686224933295e-28
203	3351	2.7362734970916103e-29
204	3361	1.0480976740826212e-30
205	3363	3.771938005714085e-26
206	1129	1.1692582366459334e-25
207	2778	1.6245322711838143e-23
208	776	3.883913200310542e-23
209	779	4.763376854650915e-24
210	775	3.2094200583444723e-25
211	778	2.1503188616018162e-26
212	814	1.8744542643296593e-21
213	112	2.401680392893686e-22
214	115	1.9721286336823918e-23
215	108	1.0952595341379036e-24
216	113	5.80589460434852e-26
217	107	2.9399235916476764e-27
218	196883	1.4230761760544661e-28
219	114	6.589072395832223e-30
220	109	4.617334118851391e-31
221	111	5.067206429476504e-32
222	10411	7.253804397598095e-34
223	11069	1.51019875557918e-34
224	55811	2.3756390403762213e-31
225	91860	6.336513209461795e-23
226	163688	3.6722781108212564e-24
227	810	2.9909992840139423e-25
228	51806	2.3933093560283166e-26
229	801	1.2507094733754233e-27
230	816	5.414589588622695e-25
231	818	2.731405504017702e-26
232	817	1.3133542555592946e-27
233	815	1.5077457748522366e-28
234	2776	4.764450194050412e-20
235	4214	7.394255140429248e-20
236	4842	1.3033465565178475e-19
237	4846	1.2592111901059888e-19
238	8536	3.2849912499083264e-18
239	57118	2.0704046264438893e-20
240	57172	8.151240012741739e-23
241	25780	6.239417374285454e-18
242	5241	1.6382163604932784e-17
243	117	1.118409070533865e-16
244	2911	1.6610826440674487e-16
245	5533	7.482519028114305e-17
246	5532	2.1222719656293427e-18
247	5530	1.1462214598305353e-19
248	5535	2.3714253972265555e-19
249	5534	4.8179085288404275e-21
250	2915	2.619830463734815e-19
