#rank	DIAMOnD_node	p_hyper
155	9568	4.303580528054706e-25
156	2550	2.0473805930972865e-26
157	1132	7.703240781714016e-25
158	1813	2.5342537069668085e-24
159	1268	9.725191115359207e-25
160	187	1.3803336086705595e-23
161	2788	1.1536876298113091e-23
162	773	1.0162297071467859e-24
163	779	8.528343494185218e-26
164	778	5.633502117063281e-27
165	51764	1.4818333930425815e-26
166	776	1.8773514845356953e-27
167	775	1.835195521656486e-28
168	5923	2.0858762375308298e-29
169	5924	1.0014291576964538e-30
170	774	3.83562134277802e-32
171	2782	3.566815201877284e-31
172	22808	7.5729456946807845e-28
173	22800	1.5588032243922947e-28
174	6237	4.794644425960947e-29
175	3350	5.80076403542697e-27
176	3352	1.6520739925999457e-28
177	3355	4.419463447591726e-30
178	3354	3.7117360888048883e-31
179	3361	1.9305061520036958e-32
180	1129	4.530473550173741e-29
181	3363	1.2963709922972037e-27
182	5562	3.3113292226878995e-26
183	53632	1.4394106505330303e-27
184	51422	5.969087192727846e-29
185	5563	2.363179583709214e-30
186	5565	8.938004625234452e-32
187	5571	3.231439801243995e-33
188	5564	1.9129005097798167e-33
189	112	2.527957179991374e-25
190	113	1.7488397401500254e-26
191	114	8.032822825233002e-28
192	115	3.5264728683575255e-29
193	107	1.4807320453881344e-30
194	108	5.950502707936133e-32
195	196883	2.289919567480642e-33
196	109	1.364483591185659e-34
197	111	1.3026307000916025e-35
198	55811	1.3850528298236467e-36
199	814	3.167146665654386e-33
200	10411	1.9171478975488075e-30
201	11069	2.5726507088866757e-31
202	2778	4.593272934531411e-28
203	10672	9.193414073445827e-26
204	2918	2.10637375380201e-25
205	2914	6.069715787450866e-27
206	2917	1.6309512475880728e-28
207	2912	1.5387217922703038e-29
208	5291	2.0739026163848888e-23
209	5293	1.8902295829122038e-24
210	57580	2.8738438211317562e-25
211	5290	2.9184334992783456e-26
212	5295	4.253679262317984e-25
213	5580	6.206552070965895e-26
214	8503	1.3213035383416305e-26
215	5296	1.2096355904505011e-27
216	5332	4.3820912717882055e-27
217	5331	4.057451284151107e-28
218	5330	4.6237595090885044e-29
219	23236	4.093143987606281e-30
220	2776	1.0967489709724752e-26
221	6714	1.680343007315441e-23
222	5336	3.31402846787795e-22
223	5335	3.782438194138146e-22
224	27040	6.906729763856473e-22
225	817	2.0059598876674064e-20
226	818	1.189262730705454e-21
227	816	6.698217916453064e-23
228	815	7.75003367171528e-24
229	163688	6.968627939724086e-22
230	91860	4.171028524293689e-23
231	805	3.448774082667748e-24
232	810	1.910394707493386e-25
233	801	1.5062069344243295e-26
234	51806	7.752978288444388e-28
235	808	5.851722859473959e-29
236	4846	2.8390907248855503e-23
237	4842	8.871484257641437e-23
238	3710	5.6203154931901306e-24
239	3708	3.573241030911696e-25
240	3709	3.4837925573247285e-26
241	5501	3.6808112877658647e-22
242	5499	6.550890257316289e-23
243	5500	1.1705243467822198e-23
